Municipio,Cargo,Numero_Candidato,Nome_Completo,Nome_Urna,Tipo_Agremiacao,Partido,UF_Nascimento,Mun_Nascimento,Idade_Posse,Genero,Grau_Instrucao,Estado_Civil,Declar_Racial,Ocupacao,Despesas_Max_Partido,Reeleicao,Declar_Bens
PARAUAPEBAS,VEREADOR,12888,CARLOS AUGUSTO NINA SILVA JUNIOR,PROFESSOR CARLOS,PARTIDO ISOLADO,PDT,MA,IMPERATRIZ,37,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL,211925.15,N,S
ALTAMIRA,VEREADOR,25123,JOAO ANTÔNIO BARBOSA DA SILVA,JOAO ANTONIO,PARTIDO ISOLADO,DEM,PA,BELÉM,31,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PARDA,VIGILANTE,106019.2,N,S
MARABÁ,VEREADOR,10001,MATTHEUS PEREIRA CAVALCANTE,MATTHEUS CAVALCANTE,PARTIDO ISOLADO,REPUBLICANOS,PA,MARABÁ,30,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,OUTROS,238660.11,N,S
AUGUSTO CORRÊA,VEREADOR,12124,ROSILEIDE DE DEUS JESUS BRITO,NINA,PARTIDO ISOLADO,PDT,PA,BELÉM,33,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,AGRICULTOR,16318.14,N,N
IPIXUNA DO PARÁ,VEREADOR,12200,VERA LUCIA VALADARES FERNANDES,VERA DA FARMACIA,PARTIDO ISOLADO,PDT,PA,IPIXUNA DO PARÁ,41,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO),12307.75,N,N
RURÓPOLIS,VEREADOR,28222,EDCLÉA FERREIRA DE AGUIAR,EDCLÉA FERREIRA,PARTIDO ISOLADO,PRTB,PA,SANTARÉM,33,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,OUTROS,23250.68,N,S
BREU BRANCO,VEREADOR,22555,FERNANDA DOS SANTOS DA SILVA NASCIMENTO,FERNANDA,PARTIDO ISOLADO,PL,PA,TUCURUÍ,33,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,VEREADOR,32270.52,S,S
ALMEIRIM,VEREADOR,45999,AUGUSTO RADAMES MELO DE AGUIAR,RADAR,PARTIDO ISOLADO,PSDB,PA,SANTARÉM,32,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,COMERCIANTE,15285.23,N,S
BARCARENA,VEREADOR,45130,ROMARIO DE NAZARÉ VIANA MENDES,ROMARIO MENDES,PARTIDO ISOLADO,PSDB,PA,BARCARENA,32,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),SEM INFORMAÇÃO,OUTROS,52834.7,N,S
AVEIRO,VEREADOR,15555,ORLANDINA COLARES NUNES,ENFERMEIRA ORLANDINA,PARTIDO ISOLADO,MDB,PA,AVEIRO,31,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,ENFERMEIRO,12307.75,N,S
SANTA MARIA DO PARÁ,VEREADOR,25123,MARIA JOSIANE SOUZA LIMA,JOSIANE DA SAUDE,PARTIDO ISOLADO,DEM,PA,BUJARU,33,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,AGENTE DE SAÚDE E SANITARISTA,30015.81,N,S
CASTANHAL,VEREADOR,36500,PEDRO GUILHERME DA SILVA BARBOSA,PEDRINHO DO QUEIJO,PARTIDO ISOLADO,PTC,PA,BELÉM,43,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,"VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS",53698.78,N,S
RONDON DO PARÁ,VEREADOR,15700,ADAILTON ALVES DOS SANTOS,ADAILTON DA BR222,PARTIDO ISOLADO,MDB,PA,RONDON DO PARÁ,32,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,ADMINISTRADOR,17356.69,N,S
CUMARU DO NORTE,VEREADOR,20222,LETÍCIA CRISTINA TEIXEIRA DA SILVA,LETICIA CRISTINA,PARTIDO ISOLADO,PSC,GO,ANICUNS,30,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,DONA DE CASA,12307.75,N,S
ABAETETUBA,VEREADOR,45018,MARIA DA CONCEIÇÃO LEITE DOURADO SILVA,BRANCA LEITE,PARTIDO ISOLADO,PSDB,MA,PAULO RAMOS,32,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,OUTROS,37269.99,N,S
BREVES,VEREADOR,33000,FERNANDA REIS DA SILVA,FERNANDA REIS,PARTIDO ISOLADO,PMN,PA,BREVES,31,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,OUTROS,65571.41,N,S
SÃO GERALDO DO ARAGUAIA,VEREADOR,14777,EDNEY BARBOSA DA SILVA,NEY DA PEXARIA,PARTIDO ISOLADO,PTB,CE,TIANGUÁ,43,MASCULINO,LÊ E ESCREVE,CASADO(A),PARDA,COMERCIANTE,12307.75,N,S
BREVES,VEREADOR,28222,TAINÁ COUTINHO DOS SANTOS,TAINÁ COUTINHO,PARTIDO ISOLADO,PRTB,PA,BELÉM,22,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,OUTROS,65571.41,N,S
SANTA ISABEL DO PARÁ,VEREADOR,45111,ARI DA SILVA FIGUEIREDO,ARYH FIGUEIREDO,PARTIDO ISOLADO,PSDB,PA,SANTA ISABEL DO PARÁ,33,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,AGENTE ADMINISTRATIVO,33247.26,N,S
SANTO ANTÔNIO DO TAUÁ,VEREADOR,12012,IVALDO MEDEIROS LIMA,IVALDO LIMA,PARTIDO ISOLADO,PDT,PA,BELÉM,31,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,ADMINISTRADOR,15743.9,N,S
MOJU,VEREADOR,40234,MELLYSSA CORREA QUARESMA,MELLYSSA,PARTIDO ISOLADO,PSB,PA,IGARAPÉ-MIRI,30,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,CABELEIREIRO E BARBEIRO,12307.75,N,S
BREJO GRANDE DO ARAGUAIA,VEREADOR,12124,VANDERLEI PEREIRA DA COSTA,VANDERLEI DO DIDI,PARTIDO ISOLADO,PDT,PA,BREJO GRANDE DO ARAGUAIA,36,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),SEM INFORMAÇÃO,SERVIDOR PÚBLICO MUNICIPAL,12307.75,N,S
