Numero_Candidato,Nome_Completo,Votos,Situacao
45222,ÍTALO BENEDITO DA CRUZ MAGALHÃES,186,SUPLENTE
12,ÉVERSON CARLOS QUARESMA DA SILVA,13995,NÃO ELEITO
43741,ÉRICA MARIA PANTOJA DE SOUZA,16,NÃO ELEITO
23555,ÉRICA DE MESQUITA REIS SOUSA,40,NÃO ELEITO
45555,ÉRICA ALVES FELIPE,25,SUPLENTE
45330,ÉLIO ALVES DE BARROS,203,SUPLENTE
40999,ÉDIPO LUIZ ALMEIDA DE SOUZA,181,SUPLENTE
36555,ÉDINA MAKLOUF GONÇALVES PEREIRA,20,NÃO ELEITO
45678,ÂNGELO NEVES DOS SANTOS,861,SUPLENTE
15333,ÂNGELA PEREIRA DA SILVA,0,SUPLENTE
15166,ÂNGELA MARIA SALDANHA FONSECA,13,SUPLENTE
77777,ÂNDRYA DE PAULA DE SOUZA GAMA GUEDES,287,NÃO ELEITO
50777,ÁUREA SENA DOS SANTOS,50,NÃO ELEITO
65,ÁUREA NINA MONTEIRO,285,NÃO ELEITO
28111,ÁTILA GARCIA DO VALE,9,NÃO ELEITO
20456,ÁDILA AMORIM DA SILVA ALMEIDA,254,SUPLENTE
90778,ZÓSIMO DE OLIVEIRA TAVARES,91,NÃO ELEITO
14444,ZÉLIA DA CUNHA XAVIER,91,SUPLENTE
10345,ZUVEIDE SILVA BEZERRA,333,ELEITO POR QP
15234,ZURAS SANTANA DE SOUZA,89,SUPLENTE
90612,ZULENE DOS SANTOS ARAUJO,502,NÃO ELEITO
12222,ZULEMA FERREIRA SILVA,356,ELEITO POR QP
45999,ZULEIDE JARDIM MARQUES,5,SUPLENTE
14333,ZULEIDE CAPISTANA DA SILVA,27,SUPLENTE
15,ZULEICA FABIANA KOLLING,7615,NÃO ELEITO
36321,ZOZY MIRANDA CORREA,0,NÃO ELEITO
55333,ZONEIDE FERREIRA BRITO,62,SUPLENTE
45999,ZOLEIDE GARCIA DA ROCHA,23,SUPLENTE
12555,ZITO FROES ALVES,194,SUPLENTE
15000,ZIRALDO DOS SANTOS MORAIS,216,SUPLENTE
15777,ZIONA JÚNIOR COSTA AZEVEDO,122,SUPLENTE
20002,ZIMAR FERNANDES DE PADUA,47,SUPLENTE
25456,ZILMAR SIRQUIEIRA DA SILVA,46,SUPLENTE
22123,ZILMAR DA SILVA MACHADO,65,NÃO ELEITO
90110,ZILMA MARGARETH DA SILVA SOUSA,117,SUPLENTE
15600,ZILMA LEITE DA SILVA SANTANA,147,SUPLENTE
22133,ZILMA FRANCISCA DE SOUSA,15,SUPLENTE
20255,ZILMA BRITO DE SOUSA,170,NÃO ELEITO
13345,ZILDO BALIEIRO TENÓRIO,58,SUPLENTE
35613,ZILDIANE DA SILVA PANTOJA,9,NÃO ELEITO
20000,ZILDETE NUNES SODRÉ,67,SUPLENTE
15789,ZILDA MARQUES DA SILVA,8,SUPLENTE
17123,ZILDA GONÇALVES DA SILVA,54,NÃO ELEITO
43110,ZILDA CARLA SANTOS SILVA,23,SUPLENTE
20555,ZILANDA MONTEIRO FERREIRA,287,SUPLENTE
10555,ZILAH LIMA DOS REIS,2,NÃO ELEITO
36700,ZILA RIBEIRO SANTOS,2,NÃO ELEITO
10000,ZICO TRINDADE PIRES,322,SUPLENTE
55234,ZEZINHA DA SILVA E SOUZA,0,SUPLENTE
55016,ZEZAIAS QUEIROZ COELHO,121,SUPLENTE
13513,ZEULI ALBUQUERQUE NASCIMENTO,74,SUPLENTE
45777,ZEREDA PANTOJA DE LIMA,39,SUPLENTE
90666,ZENÁRIA BARBOSA STABENOW,9,SUPLENTE
40333,ZENUNES COSTA E SILVA,9,SUPLENTE
36987,ZENOBIO JARLSON MELO SERIQUE,13,NÃO ELEITO
65100,ZENOBIO DE SOUZA VIEIRA,1,SUPLENTE
14321,ZENITO LOPES DA COSTA,54,SUPLENTE
50123,ZENITO FARIAS DE MELO,62,NÃO ELEITO
15555,ZENILTON BONFIM MARIS,249,SUPLENTE
55022,ZENILTON ALBUQUERQUE LIRA,117,SUPLENTE
15100,ZENILSON DA SILVA,1023,ELEITO POR QP
20100,ZENILDO SAW MUNDURUKU,47,SUPLENTE
27000,ZENILDO CAVALCANTE MIRANDA JUNIOR,115,NÃO ELEITO
13133,ZENILDA TEIXEIRA DOS SANTOS,11,NÃO ELEITO
19099,ZENILDA OLIVEIRA DE MATOS,15,SUPLENTE
90456,ZENILDA BARROS DE JESUS RODRIGUES,26,SUPLENTE
15000,ZENI OLIVEIRA DA CUNHA,198,NÃO ELEITO
19789,ZENALDO MARTINS PORTAL,237,SUPLENTE
10111,ZENAIDE VITAL DA SILVA,20,SUPLENTE
40222,ZENAIDE SOUZA DE JESUS,11,NÃO ELEITO
25333,ZENAIDE PACHECO DE LIMA,364,ELEITO POR QP
19777,ZENAIDE GOMES DA CONCEICAO CASTRO,27,NÃO ELEITO
17132,ZELMA ZEVONI PEREIRA ABNADER,11,NÃO ELEITO
13456,ZELIÃO LUNA ALENCAR,100,NÃO ELEITO
51752,ZELIETE NASCIMENTO CARDOSO,2,NÃO ELEITO
22011,ZEILA BERNARDES DOS SANTOS,13,SUPLENTE
15777,ZEDEQUIAS SALES DOS SANTOS,625,ELEITO POR QP
90567,ZEANE TEIXEIRA PINHEIRO,46,SUPLENTE
20333,ZAYRE AUGUSTO DE JESUS SOUZA,339,ELEITO POR MÉDIA
13456,ZAQUEU SILVA CATARINO,202,NÃO ELEITO
40333,ZAQUEU GOMES ANDRADE,32,SUPLENTE
15100,ZAQUEU DE OLIVEIRA MONTEIRO,53,SUPLENTE
43456,ZAQUEU DAMASCENO LANOA,70,SUPLENTE
51234,ZAQUEL PEREIRA DA SILVA,261,NÃO ELEITO
20001,ZANDERLAN ANTÔNIO FERREIRA,11,SUPLENTE
13999,ZAIRO GOMES DA COSTA BENJO,120,NÃO ELEITO
15122,ZAIRE MENESES DIAS,16,SUPLENTE
22333,ZACARIAS RIBEIRO,144,SUPLENTE
13023,ZACARIAS PRIST TEIXEIRA,9,NÃO ELEITO
20009,ZACARIAS DE SOUZA GOMES,34,SUPLENTE
15150,ZACARIAS CHAGAS MONTEIRO FILHO,36,SUPLENTE
14333,ZACARIAS BARROS PIEDADE JUNIOR,83,SUPLENTE
17777,YÊDA MIRANDA VASCONCELOS,28,SUPLENTE
13250,YURY ROBERTO DIAS,12,SUPLENTE
55678,YURI RAILAN ALMEIDA GUEDES,43,SUPLENTE
10222,YURI ORLANDO GOMES BASTOS,354,SUPLENTE
70555,YURI INACIO FERREIRA,55,NÃO ELEITO
45550,YUME DANNA CARVALHO PINTO,218,SUPLENTE
77555,YULLI AVILA DA SILVA,39,SUPLENTE
17566,YSLAIANA CONCEICAO CARNEIRO DE PAULA,0,SUPLENTE
20977,YRECÊ SERRA DA SILVA SANTOS,1,NÃO ELEITO
15777,YGOR DO CARMO SILVA,201,SUPLENTE
55999,YEDA DO SOCORRO NONATO MACHADO,0,NÃO ELEITO
19225,YASMIN GARCIA SANTANA,1,NÃO ELEITO
22,YARA MOITINHO BOMFIM,266,NÃO ELEITO
15555,YANNÊ DO SOCORRO GAMA OLIVEIRA,510,SUPLENTE
11123,YANGLYER GLAY SANTOS MATTOS,248,SUPLENTE
51234,YANDALLA RODRIGUES FARIAS,135,NÃO ELEITO
25555,YAN TEIXEIRA MIRANDA NUNEZ,208,SUPLENTE
90545,YAN JOSE DO NASCIMENTO CHAVES,8,SUPLENTE
