Valor_Total_Declarado,Idade_Posse,Municipio,Partido,UF_Nascimento,Genero,Grau_Instrucao,Estado_Civil,Declar_Racial,Reeleicao,Declar_Bens,Situacao
0.059820146637486624,-0.429374924752552,4,2,1,0,7,1,3,0,1,0
0.3961824814151148,-1.5685796386508812,4,1,1,1,5,1,1,0,1,0
0.05350176859313566,1.2794321460949418,4,2,2,0,5,0,4,0,1,0
-0.3902316513154872,0.04529370603841849,0,1,2,1,5,1,3,0,1,0
-0.3213289463607321,-0.5243086509107461,4,2,1,0,5,0,3,0,1,0
-0.3833413808200117,0.519962336829389,4,2,1,1,3,2,3,0,1,0
1.6423981448497884,-1.5685796386508812,1,1,1,1,7,0,3,0,1,0
-0.15596245446931986,-1.5685796386508812,4,1,1,1,5,1,3,0,1,0
-0.2055724020367435,-0.5243086509107461,4,1,1,0,5,0,3,0,1,1
-0.3495790553921817,-0.429374924752552,4,2,2,1,5,1,1,0,1,0
1.5623952141268223,1.1844984199367476,4,1,2,1,2,1,1,1,1,0
-0.22486515942407495,1.1844984199367476,1,2,2,1,5,0,3,0,1,0
-0.36267056933358516,1.0895646937785535,1,2,1,1,3,0,3,0,0,0
-0.23588959221683578,0.42502861067119485,2,2,1,0,3,1,3,1,1,0
-0.36267056933358516,-0.04964002011977561,1,1,1,0,5,1,3,0,1,0
-0.4040121923064382,0.519962336829389,0,1,1,1,7,1,3,0,1,0
-0.1118399183244929,1.5642333245695241,1,1,2,1,3,1,3,0,1,0
-0.3089264594688762,-0.3344411985943579,1,1,1,1,7,1,3,0,1,0
-0.21191145089258098,1.1844984199367476,4,2,1,0,1,1,3,0,1,0
-0.15596245446931986,-0.5243086509107461,4,1,1,1,5,1,3,0,1,0
-0.1862796446494121,-0.429374924752552,4,1,1,0,7,0,3,0,1,0
-0.3823836332211406,0.2351611583548067,4,2,1,0,1,1,3,0,1,0
-0.36267056933358516,-0.3344411985943579,1,2,1,0,2,0,3,0,1,0
-0.05944354536869889,0.04529370603841849,1,2,2,0,1,1,3,0,1,0
0.11964836534970055,0.7098297891457772,1,1,1,0,7,1,3,0,0,0
0.42556535091602044,-0.6192423770689403,4,2,1,0,7,0,3,0,1,1
-0.215563294255183,-0.1445737462779697,2,1,1,0,7,0,2,0,0,0
-0.3792072185227264,-1.1888447340181048,1,1,1,0,1,0,1,0,0,0
-0.2055724020367435,-0.7141761032271343,4,2,1,1,2,0,3,0,1,0
-0.15591422257585152,0.9946309676203594,1,1,2,1,3,0,3,0,0,0
1.6355078743543128,-0.6192423770689403,0,1,1,1,5,1,3,0,1,0
-0.29376786437883007,-0.04964002011977561,4,2,2,1,5,1,3,0,1,1
-0.004460564868903447,2.418636859993271,4,1,1,1,7,4,3,0,1,0
1.1114339004684455,0.9946309676203594,0,0,1,1,7,2,1,0,1,0
-0.07406883352239522,1.46929959841133,0,2,2,0,2,0,1,0,1,0
0.19544134079993117,-0.3344411985943579,4,2,2,0,2,4,1,0,1,1
