Nome_Completo,Valor_Total_Declarado
LUIZ ALBERTO MOREIRA CASTILHO,172783.43
WASHINGTON COSTA DE ALBUQUERQUE,157296.50000000015
CELSO SABINO DE OLIVEIRA SOBRINHO,157248.8
CLAUDIA VINAGRE DE MELLO,139551.66999999998
MARIA DE NAZARÉ ALVES DE LIMA,139308.07000000027
VIVIANE DA COSTA REIS,137388.32
MAURO  CRISTIANO FREITAS,130752.80000000002
ZACARIAS DE ASSUNÇÃO VIEIRA MARQUES,129900.00000000001
MATHEUS DOS SANTOS CAVALCANTE,125992.85
NEHEMIAS GUEDES VALENTIM,122988.25
LÍVIA DUARTE PUTY,119566.87
YAN TEIXEIRA MIRANDA NUNEZ,105400.0
IVANALDO BRAZ SILVA SIMPLICIO,102500.0
ELIAS FERREIRA DE ALMEIDA FILHO,98767.37999999992
LUCINERY HELENA RESENDE FERREIRA,95000.0
BLENDA CECÍLIA ALVES QUARESMA,94904.35
VICTOR CONDE DE OLIVEIRA,92142.54999999999
MARIA CRISTINA COIMBRA MUTRAN,91141.89
ROBERTO SANDRO CARDOSO MONTEIRO,89994.0
EDUARDA DE NAZARE PENA GRAIM,89247.94999999998
JOHN WAYNE HOLANDA PARENTE,87314.29999999996
LUCILENE BASTOS FARINHA SILVA,85000.0
JOÃO PAULO ALBUQUERQUE COELHO,85000.0
JOSE DAS DORES COUTO,84748.10999999994
PEDRO CORRÊA LIMA,82299.74999999996
FRANCILDA PEREIRA DA SILVA,81707.34999999998
ADRIANA FERREIRA DE ALMEIDA SILVA,78470.57
SERGIO BALDUINO DE CARVALHO,76475.29
CLEOSON SOUZA DA SILVA,75965.0
RAUL VICENTE NETO,75476.35
JOÃO VITOR SANTOS DE OLIVEIRA,71980.0
SILVIA LETICIA D OLIVEIRA DA LUZ,71095.6
ABRAAO GONCALVES DO REGO,69232.05
ZILMAR COSTA AGUIAR JUNIOR,69012.5
FABIO SOUSA DE ABREU,67471.81
LEO FERREIRA CASTRO,66657.65
ANDERSON MENDES DOS REIS,65844.05000000002
FERNANDO ANTONIO MARTINS CARNEIRO,65669.82999999997
AMAURY DE SOUSA FILHO,65110.6
GIZELLE SOARES DE FREITAS,63034.5
JOSE EMERSON CAMPOS SAMPAIO,63000.0
JOSE AFONSO DA COSTA MONTEIRO,62981.889999999985
ALTIMÁ  ALVES DA SILVA,61988.5
INGRID SOUZA DA CONCEICAO,59928.5
FABIO JORGE CARVALHO DE SOUZA,59039.84999999999
EDUARDO TODDE KANEKIYO CALIMAN,59003.71
FÁBIO ROGÉRIO MOURA MONTALVÃO DAS NEVES,58022.76
ODILON ROCHA DE SANÇÃO,58011.0
ANDRE LUIZ BARBOSA DA CUNHA,55916.159999999996
GLAUCIA SILVANA BRITO SANTIAGO COSTA,55000.0
RAFAEL RIBEIRO OLIVEIRA,54479.88
ELIENE SOARES DE SOUZA,53930.310000000005
PAULO MAURÍCIO OLIVEIRA PINHO,53496.0
JULIANA MARIA ZAIRE FONTELES DE LIMA,53041.45
DINILSON JOSE DOS SANTOS,52222.01
ANTÔNIA DE JESUS MORAES MONTEIRO,52000.0
CARMEM CILENE DA COSTA PAULA,51977.44999999997
SANDRA MARIA CAMINHA FONSECA,51757.31999999999
WILSON CORDEIRO ALBUQUERQUE NETO,51718.0
MIGUEL GOMES FILHO,50729.6
GLEBSON CAVALCANTE DA SILVA,50578.70000000001
RONI EMERSON HECK,50000.0
RILDO DE OLIVEIRA PESSOA,48983.4
TATIANA PARÁ MONTEIRO DE FREITAS,48887.09
VITOR SALES CAMINHA,48650.0
EDNEIS BARBOSA LIMA,47751.99
MARIA ROSA DOS SANTOS,47009.99999999999
ANDRADE SOARES DA SILVA,46888.600000000006
JOSÉ WILSON COSTA ARAÚJO,45796.66
MIGUEL BENTO PEREIRA NETO,45570.31
MARILIA TELLES RODRIGUES,45041.8
IRNACLEI DA COSTA PANTOJA,45000.0
ROBERTA VASCONCELOS DA CUNHA,45000.0
MICHELLE SILVA TEIXEIRA,45000.0
ANGELA MARIA MORAES DOS SANTOS,45000.0
LUCIANA ELKE DUARTE DE ATAIDE,45000.0
CLEVERSON ALEKSANDER ZAJAC,43919.42
TULIO DIAS DAS NEVES,43786.909999999996
PRISCILA DUARTE VELOSO,43588.85
JOAO MACIEL BATISTA,43496.53999999999
LEILA CARVALHO FREIRE,43019.25
KELEN ADRIANA COSTA COELHO MESQUITA,43010.45
RAIMUNDA NONATA ROCHA TEIXEIRA,42996.450000000004
NILDA MARIA PAULA NUNES,42910.200000000004
ELIO FERREIRA DA COSTA,42556.95
GERSICA DA SILVA MAGALHAES,42210.0
OSMAR DA SILVA NASCIMENTO,41850.85
ANTONIO MARCIO FARIAS GONÇALVES,41115.99999999999
HIGOR GABRIEL SANTOS COSTA,41038.05
MARIA DAS NEVES OLIVEIRA DA SILVA,40999.0
UBIRAJARA NAZARENO SOMPRE,40970.00000000001
ELZA ABUSSAFI MIRANDA,40953.95
SUELY GUILHERME DE SOUSA VIEIRA,40521.27999999997
ELLANA FIAMA SOUZA DA SILVA,40302.27
ROBERTO MEDEIROS DA SILVA,40000.0
LEONARDO PEREIRA DA COSTA,40000.0
WALTER DINIZ MARQUES,40000.0
LEIRSON WELLINGTON AZEVEDO SILVA,39910.77
JOSE FRANCISCO AMARAL PAVÃO,39849.99999999999
FABRICIO PEREIRA DA GAMA,39460.0
ISRAEL DOS SANTOS SILVA,39329.3
LEONARDO DA SILVA MENDES,39182.95
EDINALDO MACHADO PINTO,38899.3
JOSÉ MARIA DE LIMA SEGUNDO,38643.8
SEANNE RODRIGUES DA SILVA,38374.0
ANTÔNIO OLIVEIRA LIMA,38134.0
NIZIA KARINE GONÇALVES CAMELI,38100.0
FRANCISCO ANTONIO GUIMARÃES DE ALMEIDA,36717.399999999994
GLEISSON OLIVEIRA DA SILVA,36000.0
JOEL PEDRO ALVES,35804.119999999995
FLAVIO MARQUES NOBRE,35000.0
THIAGO LIMA RODRIGUES,34990.65
JOÃO VITOR DOS SANTOS MAGALHÃES,34780.0
