Municipio,Cargo,Tipo_Agremiacao,Partido,UF_Nascimento,Idade_Posse,Genero,Grau_Instrucao,Estado_Civil,Declar_Racial,Reeleicao,Declar_Bens,Valor_Total_Declarado,Situacao
IGARAPÉ-AÇU,VEREADOR,PARTIDO ISOLADO,PSDB,PA,39,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,3565.8499999999995,SUPLENTE
CURIONÓPOLIS,VEREADOR,PARTIDO ISOLADO,CIDADANIA,PA,27,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,N,S,6006.700000000001,NÃO ELEITO
TRAIRÃO,VEREADOR,PARTIDO ISOLADO,PSDB,PR,57,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,N,S,3520.0,SUPLENTE
ANANINDEUA,VEREADOR,PARTIDO ISOLADO,PTC,AM,44,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,300.0,NÃO ELEITO
SÃO DOMINGOS DO CAPIM,VEREADOR,PARTIDO ISOLADO,PSDB,PA,38,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,800.0,SUPLENTE
SANTA LUZIA DO PARÁ,VEREADOR,PARTIDO ISOLADO,MDB,PA,49,FEMININO,ENSINO FUNDAMENTAL COMPLETO,DIVORCIADO(A),PARDA,N,S,350.0,SUPLENTE
BREVES,VEREADOR,PARTIDO ISOLADO,SOLIDARIEDADE,PA,27,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,S,15050.0,NÃO ELEITO
PRAINHA,VEREADOR,PARTIDO ISOLADO,PSC,PA,27,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,2000.0,SUPLENTE
MOJUÍ DOS CAMPOS,VEREADOR,PARTIDO ISOLADO,REPUBLICANOS,PA,38,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,1640.0,ELEITO POR QP
RURÓPOLIS,VEREADOR,PARTIDO ISOLADO,MDB,MA,39,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,N,S,595.0,SUPLENTE
OURILÂNDIA DO NORTE,VEREADOR,PARTIDO ISOLADO,PROS,MA,56,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,S,S,14469.45,NÃO ELEITO
MARITUBA,VEREADOR,PARTIDO ISOLADO,PTB,AP,56,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,1500.0,SUPLENTE
ÓBIDOS,VEREADOR,PARTIDO ISOLADO,PSDB,PA,55,FEMININO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,N,N,500.0,SUPLENTE
CURUÁ,VEREADOR,PARTIDO ISOLADO,MDB,PA,48,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,S,S,1420.0,SUPLENTE
ÓBIDOS,VEREADOR,PARTIDO ISOLADO,PSC,PA,43,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,500.0,SUPLENTE
